bam_prefix	stanfordUUID	aliquot_id	Case_UUID	Case_ID
COAD-5D002D01-AE41-44B9-BE6B-A58B470062BD-X020-S09-L017-B1-T1-P052	5D002D01-AE41-44B9-BE6B-A58B470062BD	TCGA-AA-A00Q-01A-22-A616-42	62d39be5-f029-4eb8-8b00-46470e06a755	TCGA-AA-A00Q-01A-22-A616-42
COAD-5D002D01-AE41-44B9-BE6B-A58B470062BD-X020-S09-L018-B1-T2-P049	5D002D01-AE41-44B9-BE6B-A58B470062BD	TCGA-AA-A00Q-01A-22-A616-42	62d39be5-f029-4eb8-8b00-46470e06a755	TCGA-AA-A00Q-01A-22-A616-42
KIRP-5E268D3E-9CC0-4D85-9742-765A53CB3D96-X015-S03-L029-B1-T1-P034	5E268D3E-9CC0-4D85-9742-765A53CB3D96	TCGA-HE-A5NI-01A-31-A616-42	d61e22d8-c3ce-4237-83d7-da188b9fd456	TCGA-HE-A5NI-01A-31-A616-42
KIRP-5E268D3E-9CC0-4D85-9742-765A53CB3D96-X015-S03-L030-B1-T2-P037	5E268D3E-9CC0-4D85-9742-765A53CB3D96	TCGA-HE-A5NI-01A-31-A616-42	d61e22d8-c3ce-4237-83d7-da188b9fd456	TCGA-HE-A5NI-01A-31-A616-42
COAD-60C262B4-7743-46BC-A16A-3C087FA577BE-X010-S12-L071-B1-T1-P020	60C262B4-7743-46BC-A16A-3C087FA577BE	TCGA-AA-A01D-01A-41-A616-42	e2edbf3f-25d8-49aa-b656-2a59c3b99aeb	TCGA-AA-A01D-01A-41-A616-42
COAD-60C262B4-7743-46BC-A16A-3C087FA577BE-X010-S12-L072-B1-T2-P021	60C262B4-7743-46BC-A16A-3C087FA577BE	TCGA-AA-A01D-01A-41-A616-42	e2edbf3f-25d8-49aa-b656-2a59c3b99aeb	TCGA-AA-A01D-01A-41-A616-42
BRCA-6108FBB3-DFCE-4A67-A16D-0547827F058C-X008-S04-L007-B1-T1-P018	6108FBB3-DFCE-4A67-A16D-0547827F058C	TCGA-AO-A12F-01A-22-A616-42	495f9eda-b9be-4eef-bae1-766a4bfbd68e	TCGA-AO-A12F-01A-22-A616-42
BRCA-6108FBB3-DFCE-4A67-A16D-0547827F058C-X008-S04-L008-B1-T2-P020	6108FBB3-DFCE-4A67-A16D-0547827F058C	TCGA-AO-A12F-01A-22-A616-42	495f9eda-b9be-4eef-bae1-766a4bfbd68e	TCGA-AO-A12F-01A-22-A616-42
PRAD-61B4E703-CEB4-4117-9977-134941FD583F-X025-S08-L041-B1-T1-P067	61B4E703-CEB4-4117-9977-134941FD583F	TCGA-EJ-A7NG-01A-21-A646-42	607fd22b-f281-431b-848e-ae01e69567e2	TCGA-EJ-A7NG-01A-21-A646-42
PRAD-61B4E703-CEB4-4117-9977-134941FD583F-X025-S08-L042-B1-T2-P065	61B4E703-CEB4-4117-9977-134941FD583F	TCGA-EJ-A7NG-01A-21-A646-42	607fd22b-f281-431b-848e-ae01e69567e2	TCGA-EJ-A7NG-01A-21-A646-42
LGGx-628A914A-4A96-4811-9479-2D8D447AF9E2-X013-S07-L061-B1-T1-P022	628A914A-4A96-4811-9479-2D8D447AF9E2	TCGA-F6-A8O3-01A-31-A617-42	784ecaa5-7fb8-402a-8240-396aad96be83	TCGA-F6-A8O3-01A-31-A617-42
LGGx-628A914A-4A96-4811-9479-2D8D447AF9E2-X013-S07-L062-B1-T2-P028	628A914A-4A96-4811-9479-2D8D447AF9E2	TCGA-F6-A8O3-01A-31-A617-42	784ecaa5-7fb8-402a-8240-396aad96be83	TCGA-F6-A8O3-01A-31-A617-42
COAD-62DDE2A9-D8F7-4DD6-BE50-CC208AE71FFC-X017-S05-L009-B1-T1-P042	62DDE2A9-D8F7-4DD6-BE50-CC208AE71FFC	TCGA-NH-A50V-01B-11-A616-42	d3b7ada6-5395-4212-a921-8e97c92b605d	TCGA-NH-A50V-01B-11-A616-42
COAD-62DDE2A9-D8F7-4DD6-BE50-CC208AE71FFC-X017-S05-L010-B1-T2-P040	62DDE2A9-D8F7-4DD6-BE50-CC208AE71FFC	TCGA-NH-A50V-01B-11-A616-42	d3b7ada6-5395-4212-a921-8e97c92b605d	TCGA-NH-A50V-01B-11-A616-42
KIRC-636FFA9B-55A1-4D2E-A2DF-AF9FF8FA74A2-X018-S12-L046-B1-T1-P043	636FFA9B-55A1-4D2E-A2DF-AF9FF8FA74A2	TCGA-B2-A4SR-01A-31-A616-42	fc7065fc-d834-4e7d-98bd-ca6666beb6cb	TCGA-B2-A4SR-01A-31-A616-42
KIRC-636FFA9B-55A1-4D2E-A2DF-AF9FF8FA74A2-X018-S12-L047-B1-T2-P041	636FFA9B-55A1-4D2E-A2DF-AF9FF8FA74A2	TCGA-B2-A4SR-01A-31-A616-42	fc7065fc-d834-4e7d-98bd-ca6666beb6cb	TCGA-B2-A4SR-01A-31-A616-42
BRCA-64BD3CE0-7385-461B-9870-AD6611DD886A-X014-S01-L002-B1-T2-P037	64BD3CE0-7385-461B-9870-AD6611DD886A	TCGA-BH-A0BZ-01A-11-A615-42	4a032bad-e726-48f2-8f39-e3acc109cc91	TCGA-BH-A0BZ-01A-11-A615-42
BRCA-64BD3CE0-7385-461B-9870-AD6611DD886A-X014-S01-L001-B1-T1-PMRG	64BD3CE0-7385-461B-9870-AD6611DD886A	TCGA-BH-A0BZ-01A-11-A615-42	4a032bad-e726-48f2-8f39-e3acc109cc91	TCGA-BH-A0BZ-01A-11-A615-42
COAD-64DC847B-9D5E-4484-B067-0B8B585B0DF8-X014-S07-L014-B1-T2-P037	64DC847B-9D5E-4484-B067-0B8B585B0DF8	TCGA-AA-A00E-01A-22-A616-42	124b6856-f581-46da-9068-b0a49b999785	TCGA-AA-A00E-01A-22-A616-42
COAD-64DC847B-9D5E-4484-B067-0B8B585B0DF8-X014-S07-L013-B1-T1-PMRG	64DC847B-9D5E-4484-B067-0B8B585B0DF8	TCGA-AA-A00E-01A-22-A616-42	124b6856-f581-46da-9068-b0a49b999785	TCGA-AA-A00E-01A-22-A616-42
